"Timestamp","What is your gender?","What is your age? (Years)","What is your current year of study? ","Which is your school/Faculty?  ","Which course are you pursuing? ","What is your place of residence?","How far are you from campus? (Approximate KM)","How many times have you missed lectures","What was the possible reason for missing your lectures? (please tick all possible reasons)","If no, why do you think students miss lectures?","Are there some units you are likely to miss than others?","If yes, which kind of units?","If time is among the reason you can miss a lecture. Which part of the day are you likely to miss?","If mode of teaching can be the reason, which one is it?","Do you think introducing absenteeism policy will help?","What do you think can curb absenteeism?","What is your view about absenteeism?"
"2021/07/23 7:48:45 AM GMT+3","Female","21","Year 4","Agriculture","Agricultural extension","Non - Resident","Less than 1 KM","2","Weather condition","Mostly common units, too many students hence congestion","Yes","Common Unit","Morning","Huge handouts","Agree","Introducing roll calls at each lecture","It should stop"
"2021/07/23 9:12:13 AM GMT+3","Female","22","Year 2","Business and economics","Bcom","Non - Resident","Less than 1 KM","2","Is it health problem","","Yes","Common Unit","","","Agree","",""
"2021/07/23 12:14:20 PM GMT+3","Male","23","Year 2","University of eldoret","Information technology","Non - Resident","More than 2KM","More than 9","Distance to campus;Time of the class","","Yes","Common Unit","Morning","","Strongly Disagree","Just leave it the way it is.","Not  bad so long as you coverbwhat was tought"
"2021/07/23 12:26:24 PM GMT+3","Male","21","Year 2","School of science","Computer science","Non - Resident","1-2","3","Time of the class;Weather condition","","No","","Morning","","Strongly Agree","",""
"2021/07/23 2:43:36 PM GMT+3","Male","22","Year 4","School of pure and applied science","Microbiology","Non - Resident","1-2","2","Is it health problem","","No","","Morning","","Neutral","Regular assessment test","Unhealthy academically"
"2021/07/23 2:47:50 PM GMT+3","Female","20","Year 2","Education","Special needs education","Resident","Less than 1 KM","More than 9","Time of the class","","Yes","Common Unit","Evening","","Agree","Introduction of new policy that will disadvantage lazy student making them to view classroom learning important","Absenteeism should not be tolarated at any given time "
"2021/07/23 3:22:12 PM GMT+3","Male","22","Year 3","Science","BIT","Non - Resident","1-2","2","Time of the class;Is it health problem;Weather condition","","Yes","Common Unit","Evening","Not a reason","Strongly Disagree","Nothing","Not bad"
"2021/07/23 7:15:27 PM GMT+3","Female","21","Year 3","School of Science","Bsc.in Analytical chemistry with computing","Resident","Less than 1 KM","3","Weather condition","","Yes","Common Unit;Related Unit","Evening","","Strongly Agree","Taking rolls","Absenteeism is the major cause of failure and hence curbing it through various ways will be reduced"
"2021/07/23 7:23:58 PM GMT+3","Female","19","Year 2","University of Eldoret","Education Arts","Resident","Less than 1 KM","0","","Poor time management","No","","","","Strongly Agree","Enacting strict rules concerning absenteeism","It should be eradicated totally"
"2021/07/23 9:08:11 PM GMT+3","Male","23","Year 2","School of science","Actuarial science","Non - Resident","More than 2KM","6","Time of the class;Mode of teaching of the lecturer","Peer pressure","Yes","Related Unit","Evening","Online teaching","Agree","Taking serious roll calls","It is a bad habit and it will affects students perfomance."
"2021/07/23 9:25:28 PM GMT+3","Female","22","Year 2","Kenyatta University","Bachelor of education arts","Resident","Less than 1 KM","4","Time of the class;Is it health problem","","Yes","Common Unit","Morning","Online classes","Neutral","Use of biometric gudgets to record attendance","Some miss classes due to some unavoidable circumstances"
"2021/07/23 9:48:45 PM GMT+3","Female","23","Year 2","Education","Education arts","Resident","More than 2KM","3","Distance to campus;Time of the class;Is it health problem;Weather condition","","Yes","Common Unit","Evening","","Agree","Ensuring that student stay around the school",""
"2021/07/23 9:54:26 PM GMT+3","Female","21","Year 2","Education ","Bachelor of education ","Non - Resident","Less than 1 KM","1","Time of the class","","No","","Afternoon","Online","Agree","Mode of teaching ","It's bad"
"2021/07/23 10:10:42 PM GMT+3","Female","24","Year 4","Education","Bachelor of education","Non - Resident","More than 2KM","1","Time of the class","Hunger in the Campus, students can't attend lectures while hungry","Yes","Related Unit","Morning","Presentation by students","Neutral","Feeding students and setting timetable at favourable time","It should occur with genuine reason"
"2021/07/24 12:25:44 PM GMT+3","Male","20","Year 1","School of Engineering","Bachelor of Engineering in Mechanical and Production Engineering","Non - Resident","1-2","3","Mode of teaching of the lecturer","","Yes","Common Unit","Evening","","Agree","Proper scheduling of the class timetable","It is a decision of last option"
"2021/07/24 12:27:57 PM GMT+3","Female","24","Year 3","Education","Education science","Non - Resident","Less than 1 KM","5","Time of the class;Is it health problem","some students have ventured into businesses","Yes","Common Unit","Morning","Lecture method","Strongly Agree","Recording audio of the what is taught in class to gather for those for those who missed classes","Absenteeism is not a choice,students miss classes due  to various issues and a better solution of this should be introduced"
"2021/07/24 12:57:24 PM GMT+3","Female","22","Year 5","Education","Education science","Non - Resident","Less than 1 KM","5","Weather condition","Underlying conditions like lack of food.","Yes","Common Unit","Evening","Tutorial mode","Disagree","Giving out tutorials in every lecture","Absenteeism is normal..we can't avoid due to some factors
"
"2021/07/24 1:15:53 PM GMT+3","Male","22years","Year 3","Economics","Bachelor's degree in economics","Non - Resident","1-2","0","","Unavoidable circumstances","No","","","","Neutral","Seriousness of students","Should be avoided"
"2021/07/24 1:44:55 PM GMT+3","Male","22","Year 4","School of natural resource ","Natural resource management ","Non - Resident","Less than 1 KM","2","Mode of teaching of the lecturer","","No","","","","Agree","","It's leads to poor grade score hence isn't good "
"2021/07/24 1:52:55 PM GMT+3","Female","18","Year 1","School of education","Education science","Resident","Less than 1 KM","4","Mode of teaching of the lecturer;Is it health problem","","No","","Morning","Learner centered","Agree","",""
"2021/07/24 10:41:59 PM GMT+3","Male","20","Year 2","School of science","BSC","Non - Resident","1-2","2","Weather condition","Fatigue,and some courses tough","Yes","Common Unit;Related Unit","Morning","Online","Disagree","Imtrodycimg register before classes","It's constitute to poor performance"
"2021/07/25 7:40:17 AM GMT+3","Female","22","Year 3","Education ","Bachelor's degree in education (science) ","Non - Resident","Less than 1 KM","2","Is it health problem;Weather condition","Mostly, its just laziness ","No","Related Unit","Morning","The online mode of teaching ","Strongly Agree","Following the attendance sheets strictly, the lectures can be calling the names of students and marking the attendance sheets. A","Absenteeism has led to mass failure among the students and so a way to curb it should be found"
"2021/07/26 1:19:36 PM GMT+3","Female","22","Year 3","school of education","education","Resident","Less than 1 KM","1","Is it health problem","","Yes","Common Unit","","","Disagree","involving students when making timetable","it should be prohibited"
"2021/07/26 1:27:56 PM GMT+3","Male","24","Year 4","school of education","education","Non - Resident","1-2","4","Weather condition","","Yes","Common Unit","Morning","","Disagree","opening of gate C.it shortens my distance of walking","someone should be absent with a good reason"
"2021/07/26 1:29:27 PM GMT+3","Female","22","Year 3","Faculty of engineering ","Electrical engineering ","Resident","Less than 1 KM","More than 9","Time of the class","","Yes","Common Unit","Morning","","Strongly Agree","","It costs but sometimes unavoidable"
"2021/07/26 1:29:46 PM GMT+3","Female","22","Year 3","Arts","BA","Resident","1-2","More than 9","Distance to campus;Time of the class;Weather condition","","Yes","Common Unit","Morning","","Disagree","",""
"2021/07/26 8:21:57 PM GMT+3","Female","21","Year 3","Education","Education arts","Non - Resident","More than 2KM","1","Is it health problem","Financial constraints causing them find a means during class time","Yes","Common Unit","Evening","","Agree","Taking roll call in every class","It's an issue that should be looked at"
"2021/07/26 8:46:02 PM GMT+3","Male","22","Year 2","Egerton","Bsc aged","Non - Resident","Less than 1 KM","4","Time of the class","","Yes","Common Unit","Morning","physical  classes","Disagree","Starting lectures from 8am","It not good"
"2021/07/26 8:59:59 PM GMT+3","Female","21","Year 3","Education","Education","Non - Resident","Less than 1 KM","6","Time of the class","","No","","Evening","","Strongly Agree","",""
"2021/07/26 9:18:56 PM GMT+3","Female","20","Year 1","University of eldoret","Education arts ","Resident","Less than 1 KM","1","Weather condition","Weather conditions","Yes","Common Unit","Evening","Lacture","Strongly Disagree","No","Negative"
"2021/07/26 10:25:27 PM GMT+3","Female","21","Year 3","Education","Education arts","Resident","1-2","2","Is it health problem","","Yes","Common Unit","Morning","","Strongly Agree","Signing of attendance sheet","It's caused by lack of signing of attendance every lesson"
"2021/07/26 10:29:22 PM GMT+3","Male","24","Year 4","Education","Physical education","Resident","1-2","6","Time of the class;Weather condition","","Yes","Common Unit","Evening","","Agree","Bouncing off classes should be get rid
Common unit classes should be during morning hours","Absenteeism can be get rid.throught the following ways"
"2021/07/27 12:44:25 PM GMT+3","Male","22","Year 3","Education","Education Science","Non - Resident","1-2","2","Time of the class","","Yes","Common Unit","Afternoon","Discussion method
","Strongly Disagree","The administration should engage students in time table processing
","Absenteeism should be discouraged but if reasonable well and good
"
"2021/07/27 10:02:14 PM GMT+3","Male","24","Year 5","Education","Education","Non - Resident","More than 2KM","5","Distance to campus","Time of class","Yes","Common Unit","Morning","Online","Strongly Disagree","Distance from school to be considered","Its bad"
"2021/07/27 10:18:36 PM GMT+3","Male","25","Year 4","Social sciences","Bachelor of education arts","Resident","1-2","5","Weather condition","","No","","Morning","","Strongly Agree","Absenteeism policy","Should be strongly handled"
"2021/07/27 10:19:24 PM GMT+3","Male","23","Year 2","Sedhured","Education","Resident","Less than 1 KM","2","Time of the class","At most, it due to ingorance, and also unaware of the time for the class due to delay communication from the lecturers","No","","Evening","","Strongly Agree","","Effective penalties to the absentees"
"2021/07/27 11:34:11 PM GMT+3","Female","22","Year 3","Science","Computer science","Non - Resident","Less than 1 KM","0","Distance to campus","Jdjdjd","Yes","Core Unit","Mid-Morning","Physical","Agree","Put online classes","Its is  due to longer distances to school"
"2021/07/27 11:34:25 PM GMT+3","Female","21","Year 4","School of business","Information technology","Resident","Less than 1 KM","1","Is it health problem","They are confused","No","","Afternoon","","Strongly Disagree","Strokes ","It should be stopped by force"
"2021/07/28 1:30:48 AM GMT+3","Male","25","Year 3","School of science","Applied statistics with computing","Non - Resident","1-2","More than 9","","Students especially those from humble background really have hardtimes here@campus.instead they opt for a hustle to get something to cater for their state of living.Being from humble backgrounds their parents get hardtime to get them enough pocket money for their smooth running here...","No","","","","Strongly Agree","More hostels to be erected in our institution to accommodate all students who are willing to reside there.especially we guys from humble background s and allow cooking in hostels.wirh this.. things will run smoothly","Absenteeism really drags behind several students and end up failing to achieve their desired dreams plus goals"
"2021/07/28 5:01:44 AM GMT+3","Female","24","Year 5","Engineering","BEng Mechatronics","Non - Resident","More than 2KM","More than 9","Distance to campus;Weather condition","I dont know","No","","Morning","","Strongly Disagree","",""
"2021/07/28 7:06:18 AM GMT+3","Female","23","Year 4","Science ","Actuarial science ","Non - Resident","1-2","0","","Time of class mode of teaching of lecturers","Yes","Common Unit","Morning","","Neutral","Having classes at the appropriate time ","It's all about a persons decision "
"2021/07/28 7:35:16 AM GMT+3","Female","25","Year 2","Polytechnic","Diploma in catering and accommodation management","Resident","1-2","0","","School fees","No","","Morning","","Strongly Agree","Serious follow up","Should be discouraged"
"2021/07/28 8:41:09 AM GMT+3","Male","23","Year 3","Elodoret","Health record and information technology","Resident","Less than 1 KM","2","Weather condition","","No","","Morning","direct dictation","Strongly Agree","reducing some of lecture per day for a students not to be more tiresome ","it really affect the perfomance for the students"
"2021/07/28 9:43:50 AM GMT+3","Male","24","Year 4","Education ","Education ","Non - Resident","Less than 1 KM","4","Weather condition","","Yes","Common Unit","","Lecture ","Neutral","",""
"2021/07/28 10:18:35 AM GMT+3","Male","23","Year 4","Bsc Computer Science","Computer Science","Resident","Less than 1 KM","3","Distance to campus","Distance","Yes","Core Unit","Morning","Classes","Strongly Agree","Time ","Wrong"
"2021/07/28 10:50:03 AM GMT+3","Female","22","Year 4","School of business","Procurement and Supply Chain Management","Resident","Less than 1 KM","More than 9","Time of the class","","Yes","Common Unit","Afternoon","","Neutral","",""
"2021/07/28 10:55:25 AM GMT+3","Female","28","Year 4","Business ","Procurement ","Non - Resident","More than 2KM","2","Time of the class","","Yes","Common Unit","Evening","Evening mode","Strongly Disagree","Introduction of electronic Register","It should be discouraged "
"2021/07/28 3:10:48 PM GMT+3","Female","21","Year 1","Utalii college","food and beverage productio","Resident","Less than 1 KM","2","Is it health problem","Health problems","No","Related Unit","Afternoon","","Strongly Disagree","",""
"2021/07/28 5:19:08 PM GMT+3","Male","20","Year 3","Science and aerospace studies","Actuarial science","Non - Resident","Less than 1 KM","2","Mode of teaching of the lecturer","N/B","No","Related Unit","Morning","Lack of content by some the lectures and lack of voice projection by lecturer ","Neutral","By use of biometric attendance, introduction of public address systems in lecture halls and building of house of residence within the vicinity and lowering price of hostels and rental house","Is decimal in colleges than in university"
"2021/07/28 5:29:52 PM GMT+3","Female","21","Year 2","Social Science ","Mass media and communication ","Non - Resident","More than 2KM","0","","Distance, some don't want to come without a reason,, daily fare,, ","No","","Evening","","Neutral","When one resides near to the school","Neutral "
"2021/07/29 11:59:29 AM GMT+3","Male","24","Year 5","School of engineering","Mechanical and production","Non - Resident","More than 2KM","3","Mode of teaching of the lecturer","","Yes","Related Unit","Evening","Low volume lecturing","Strongly Agree","Smart lecturing","Its a bad habbit"
"2021/07/29 12:15:14 PM GMT+3","Male","22","Year 3","UEAB","Agriculture","Resident","More than 2KM","1","Is it health problem","","No","","","","Strongly Agree","",""
"2021/07/30 9:49:56 AM GMT+3","Female","22","Year 4","Science ","IT","Resident","More than 2KM","More than 9","Mode of teaching of the lecturer","","Yes","Core Unit;Common Unit","Evening","","Strongly Agree","Policies ","Should be avoided at all"
"2021/07/30 10:15:30 AM GMT+3","Female","21","Year 2","School of education","Technology education","Non - Resident","Less than 1 KM","1","Weather condition","","No","","Morning","","Strongly Disagree","Opening more shortcut routes to the campus",""
"2021/07/30 12:45:35 PM GMT+3","Male","22","Year 5","school of agriculture and biotechnology ","Animal science and management ","Non - Resident","1-2","More than 9","Mode of teaching of the lecturer","","Yes","Common Unit","Morning","Dictation straight from the pdf ","Strongly Disagree","Good lecturer student relationship ","It is okay with due reasons "
"2021/07/31 3:40:36 AM GMT+3","Female","19","Year 2","Medicine","Medicine & surgery","Resident","1-2","2","Is it health problem","N/A","No","","","N/A","Neutral","Policy","Reduces quality"
"2021/07/31 11:28:12 AM GMT+3","Female","26","Year 1","AIC training college","Cosmetology","Non - Resident","More than 2KM","1","Mode of teaching of the lecturer","Most of the students come from rich families hence  they don't take there studies seriously , thinking that they will inherit the property","No","","Evening","On Friday it's only a half a day so some of them came late for class","Disagree","When u force your child to take a course that he or she is not interested","Maybe school fees"
"2021/07/31 3:31:19 PM GMT+3","Male","20","Year 3","School of Agriculture and Biotechnology","Soil science","Non - Resident","More than 2KM","4","Time of the class;Mode of teaching of the lecturer","","Yes","Common Unit","Evening","Online teaching","Agree","Taking serious roll calls","It is a bad habit since it can lead to bad performance."
"2021/07/31 4:39:05 PM GMT+3","Male","23","Year 2","Nairobi Aviation","Journalism","Non - Resident","More than 2KM","More than 9","Time of the class","","Yes","Core Unit","Morning","Lack of interaction from dons","Strongly Agree","Serious punishment","It's like cancer"
"2021/07/31 6:33:41 PM GMT+3","Female","22","Year 2","The Sigalagala National Polytechnic","Diploma in Supply chain management","Resident","Less than 1 KM","2","Time of the class","","No","","Morning","N/A","Agree","Changing of the learning timetable",""
"2021/07/31 7:13:58 PM GMT+3","Female","23","Year 4","Education","B. Education science","Non - Resident","More than 2KM","More than 9","Distance to campus;Weather condition","","Yes","Common Unit","Evening","","Agree","I think universities should provide enough hostels for all students so as to reduce distance from classes and also to avoid excuse like unfavorable weather","Absenteeism may lead to dropping out of school because of financial challenge especially fare "
"2021/08/03 5:52:12 AM GMT+3","Male","24","Year 4","EDUCATION AND SOCIAL SCIENCES","EDUCATION","Non - Resident","1-2","4","Weather condition","","Yes","Common Unit","Morning","","Strongly Agree","Stict rules regulating absentism","Absentism lowers the performance of the student because it causes knowledge gap"
"2021/08/06 4:54:15 PM GMT+3","Male","21","Year 4","Education","Education science","Resident","Less than 1 KM","3","Is it health problem","","No","Common Unit","Morning","","Strongly Disagree","Lectures to start miidday and end afternoon","It is not a big deal provided students focus was just what brought them to campus"
"2021/08/16 9:38:17 AM GMT+3","Male","20","Year 1","School of education","Education science","Non - Resident","Less than 1 KM","2","Is it health problem","","No","","","","Strongly Agree","",""
